product.name,product.temperature,affiliation.commission.price.value,product.blueprint,product.price.value,product.totalAnswers,product.category,affiliation.commission.price.currency,affiliation.commission.percentage,producer.name,producer.ucode
Grupo VIP Brasil,11.02,9.85,51.0,37.0,0,category.sexuality.name,BRL,30.0,Gb digital,8b7a8489-874a-48f3-9afa-f84c977bbae5
Aulas Particulares de Anatomia e Fisiologia Humana ,21.0,360.3,47.0,2000.0,0,category.health_and_sports.name,BRL,20.0,Professor Felipe Barros,4fb05cc8-6107-4c7e-9f89-a42ac15c44d1
O tal do Emagrecer,21.0,1.77,26.0,39.9,0,category.health_and_sports.name,BRL,5.0,Jleonardo,0ca67050-5266-4ac9-92f4-827da4bffafe
Pack De 30 Artes de Barbeiro,21.0,5.2,65.0,14.99,0,category.design.name,BRL,40.0,Luiz Gabriel,690bf33e-2796-4460-9bd0-d9b88dd4d74d
DO PONTO AO LUCRO,21.0,8.72,61.0,19.9,0,category.business_and_careers.name,BRL,50.0,Luciana,cb2b1380-63b3-4c5f-92ca-84b7febd8b76
Como Desenhar Ninjas - Guia Definitivo,12.12,7.39,36.0,97.0,1,category.education.name,BRL,8.5,JENISCH,b69f0ee0-da0a-4a02-948d-51709d3940e1
Receitas para emagrecer em 15 dias.,21.0,0.17,26.0,19.9,0,category.health_and_sports.name,BRL,1.0,Home Bié,83f39081-cac5-4b3a-938c-b77e04c3f275
"O guia do vendedor, aprenda a vender mesmo sem experiencia ",21.0,1.9,45.0,7.9,0,category.business_and_careers.name,BRL,30.0,Thiago Pinheiro,24108fa2-4ed9-465d-92bc-f5415a6be940
EMAGREÇA HJ,21.0,33.41,65.0,50.0,0,category.health_and_sports.name,BRL,75.0,WELL,fb3479b1-5b8e-4792-b815-887eb93a17af
TUDO SOBRE EDUCAÇÃO FINANCEIRA ,21.0,1.07,28.0,40.0,0,category.personal_development.name,BRL,3.0,Lucas Itachi,a118dad5-70a8-4641-bb45-ca2963dd6a88
O MANUAL  COMPLETO PARA OBTER MEDICAMENTOS DE ALTO CUSTO PELO SUS,21.0,4.46,41.0,50.0,0,category.law.name,BRL,10.0,lucia cascais nisterenko,1ca23288-bf07-462f-ab1b-8fea166ea6c7
MÉTODO ENRIQUECENDO NO DIGITAL,21.0,357.84,91.0,497.0,0,category.digital_entrepreneurship.name,BRL,80.0,Digital,ce06360d-0dd8-4b10-bca8-3f9b60f68435
MOLDE CONJUNTO BLAZER E CROPPED ,16.64,13.34,41.0,49.9,0,category.fashion_and_beauty.name,BRL,30.0,W A MACHADO,ba90fe27-da64-4577-b858-6278ca668727
Método TRO,21.0,285.76,91.0,397.0,0,category.digital_entrepreneurship.name,BRL,80.0,Thiffanny,fd3d69c4-93d8-4c42-8a1b-45d1a6e850bd
Aprendendo a Fazer uma Redação Para o ENEM do Zero - Tutorial Passo a Passo,21.0,7.93,55.0,29.9,0,category.education.name,BRL,30.0,Thiago,5280ea5d-e6fc-41b4-8205-ab11b2d94906
Fundamentos Diários do Trompete,11.36,123.9,71.0,197.0,0,category.education.name,BRL,70.0,Tiago Linck,f0d2f509-31d6-4a1d-b495-bd17985335da
10 RECEITAS PARA SECAR EM 30 DIAS ,21.0,3.9,55.0,14.97,0,category.health_and_sports.name,BRL,30.0,Maicon,c135280f-9f51-49d5-a09a-1c7ddefc8311
100 Dicas para ficar Milionário,21.0,50.06,75.0,70.0,0,category.finance.name,BRL,80.0,Welder Cursos,842222f4-8cec-41fe-a75d-f607d12d2433
100 Dicas Para Emagrecer em 30 dias,21.0,31.19,75.0,50.0,0,category.health_and_sports.name,BRL,70.0,Welder Cursos,842222f4-8cec-41fe-a75d-f607d12d2433
1 Parte do Curso Nômade milionário Legacy 2023 completo e atualizado Thiago Finch,21.0,43.8,75.0,70.0,0,category.finance.name,BRL,70.0,Welder Cursos,842222f4-8cec-41fe-a75d-f607d12d2433
A Vida de um Bilionário,21.0,37.49,75.0,59.99,0,category.finance.name,BRL,70.0,Welder Cursos,842222f4-8cec-41fe-a75d-f607d12d2433
Perca Peso com Saúde em 30 Dias,21.0,43.8,75.0,70.0,0,category.health_and_sports.name,BRL,70.0,Welder Cursos,842222f4-8cec-41fe-a75d-f607d12d2433
Word Pets,15.11,17.79,65.0,49.92,0,category.animals_and_plants.name,BRL,40.0,Pedro,118f1859-a6ed-4094-a280-569a3264afaa
ATIVANDO OS SETE SEGREDOS DO SUCESSO,21.0,706.02,91.0,980.04,0,category.finance.name,BRL,80.0,GAVEA LAB,a0275d67-df90-4ce3-97b4-d5fe5cc30a8b
DOMINANDO C++ CURSO COMPLETO,21.0,57.19,89.0,79.9,0,category.digital_entrepreneurship.name,BRL,80.0,GAVEA LAB,a0275d67-df90-4ce3-97b4-d5fe5cc30a8b
COMO GANHAR DINHEIRO COM DAY TRADE,21.0,705.98,69.0,980.0,0,category.finance.name,BRL,80.0,GAVEA LAB,a0275d67-df90-4ce3-97b4-d5fe5cc30a8b
COMO EXPLODIR SUAS VENDAS NA INTERNET ,21.0,26.27,77.0,37.0,0,category.digital_entrepreneurship.name,BRL,80.0,GAVEA LAB,a0275d67-df90-4ce3-97b4-d5fe5cc30a8b
Emagrecimento saldável ,21.0,6.51,77.0,15.0,0,category.health_and_sports.name,BRL,50.0,Daelton,23efa4a5-35e2-4b42-b123-4bb7f73efd37
"O Arrebatamento da igreja, o maior de todos os eventos ",21.0,2.63,36.0,20.0,0,category.spirituality.name,BRL,15.0,Moisés jadson,9550416b-751b-4f2b-95f1-80847d2644ea
30 Receitas para secar em 30 dias,21.0,1.32,26.0,29.9,0,category.gastronomy.name,BRL,5.0,Angélica,5e830cdb-6132-46f8-8475-3052030e54c8
Desenvolvimento Pessoal: Estratégias Práticas para Alcançar o Sucesso.,21.0,0.5,24.0,18.9,0,category.personal_development.name,BRL,3.0,Nicolas Martins,569f1d48-bc2c-415a-9ad8-688a4348a402
Receitas Para o Emagrecimento Rápido,21.0,4.36,46.0,19.9,0,category.health_and_sports.name,BRL,25.0,Bruno,074f9203-6bd0-44e1-a89b-4a04a7a01203
Fórmula Google Ads,12.91,88.5,100.0,197.0,61,category.digital_entrepreneurship.name,BRL,50.0,Bruno Kennedy ,16108bb6-8ae3-4033-a224-78992c33adca
TÉCNICO EM RADIOLOGIA - TÉCNICO POR COMPETÊNCIA ,14.17,247.73,72.0,2750.0,0,category.education.name,BRL,10.0,SB-ASSESSORIA & CONSULTORIA EDUCACIONAL,83bdecc6-38b7-4cba-9aa3-9a14399cae12
Nofap guia completo ,21.0,8.81,57.0,25.0,0,category.health_and_sports.name,BRL,40.0,Raphaelitshow07,73eb2eec-db2d-4608-9a5e-e4638ec68f37
100 formas de vender como afiliados ,21.0,16.74,65.0,47.0,0,category.digital_entrepreneurship.name,BRL,40.0,lucas henrique mendes santana,2be47b8a-0e87-4a8f-a329-75d97ad82190
Supervisão Pedagógica,11.02,53.99,36.0,400.0,0,category.education.name,BRL,15.0,Guilherme,90569802-ddb4-4f51-9fe6-7ab6958ab1b1
CURSO COMPLETO - ATENDENTE DE FARMÁCIA - EAD,6.61,72.03,48.0,800.0,0,category.business_and_careers.name,BRL,10.0,Guilherme,90569802-ddb4-4f51-9fe6-7ab6958ab1b1
CURSO DE INGLÊS + LIBRAS,13.22,50.41,44.0,560.0,0,category.idioms.name,BRL,10.0,Guilherme,90569802-ddb4-4f51-9fe6-7ab6958ab1b1
